polygonAddress,tokens10e18
0x02435fb305D2BBA609E044279C50498Abe279380,6069000000000000000000
0x068484F7BD2b7D7C5a698d89e75ddcaf3a92B879,335796000000000000000000
0x068484F7BD2b7D7C5a698d89e75ddcaf3a92B879,32524000000000000000000
0x07f0571566E4b07eA825798A70Fd67fE79077f4E,737957000000000000000000
0x09e68152332CbD3A71DE42769439663D1e283855,Incomplete
0x09e68152332CbD3A71DE42769439663D1e283855,Incomplete
0x0c4243ca087F4e4738596F33292064e847DA80dA,10756400000000000000000000
0x0c4243ca087F4e4738596F33292064e847DA80dA,89024000000000000000000
0x0e21C3Ce673ec7F4C346f587cDB35Ce1a3c12885,500000000000000000000000
0x0F81a649448c6593629F7893d9C5e04738b508D0,402955000000000000000000
0x160834291e67Aa55F830062cA8a47186b5E319A9,335796000000000000000000
0x17175C04daC5984d7e98b4Da665ECd09E4bc477e,596781000000000000000000
0x192bDD30D272AabC2B1c3c719c518F0f2d10cc60,7011280000000000000000000
0x1bBcc9B996D70dA47557A0BbEF2979d6C5699518,Incomplete
0x1c95a25459edd226aCF8061D40C7FB03716371F7,344921000000000000000000
0x1df6D5549893Ce1480f7cb1FC380FA90bAB3C2D9,671592000000000000000000
0x24805db6a8439ad2559b495e784e40e444bb480a,176385000000000000000000
0x25c84Be73af28d65E71F092344Efd92B2c79e3f9,743835000000000000000000
0x25cB64Aa24f560A0719e92F4EBFf2876f0dA4267,402955000000000000000000
0x273BA31C706b9D9FdAe1FD999183Bfa865895bE9,671592000000000000000000
0x28235dE0121700a462B5098Cff7D3615b050551F,2663910000000000000000000
0x28235dE0121700a462B5098Cff7D3615b050551F,139157000000000000000000
0x2999Fe533BC08A03304C96E8668BfA17D9D0D35b,353833000000000000000000
0x2bc996ded6d9325311dee1bd32998e2fc7f9c922,95165000000000000000000
0x2dca6A81aE189c26Bd63316e659d2b6fB7755aAe,537273000000000000000000
0x2eCf1B0456F4C352775fcF68cFE7354Bf389A701,1575380000000000000000000
0x2eCf1B0456F4C352775fcF68cFE7354Bf389A701,201478000000000000000000
0x30fC9D86149c9241FDd5450748F8CB6734E1fdeF,Incomplete
0x38BCE8C1Ca5a061aa8e2b4750C18BA3efb27CeD9,670572000000000000000000
0x3C2b8156D8AbE9814BFc800b170b60C66eC33cc2,772853000000000000000000
